lambda,log_residual,log_regularization
1e-06,1.46344,-12
1.45635e-06,1.46166,-12
2.12095e-06,1.45853,-12
3.08884e-06,1.45173,-12
4.49843e-06,1.43769,-12
6.55129e-06,1.4094,-12
9.54095e-06,1.35505,-12
1.3895e-05,1.25894,-12
2.02359e-05,1.10839,-12
2.94705e-05,0.904474,-12
4.29193e-05,0.666476,-12
6.25055e-05,0.428574,-12
9.10298e-05,0.2334,-12
0.000132571,0.105172,-12
0.00019307,0.0229157,-12
0.000281177,-0.0541393,-12
0.000409492,-0.16026,-12
0.000596362,-0.31761,-12
0.000868511,-0.526517,-12
0.00126486,-0.743616,-12
0.00184207,-0.876301,-12
0.0026827,-0.909661,-12
0.00390694,-0.915591,-12
0.00568987,-0.931056,-12
0.00828643,-0.968096,-12
0.0120679,-1.03037,-12
0.0175751,-1.10538,-12
0.0255955,-1.16303,-12
0.0372759,-1.18959,-12
0.0542868,-1.19949,-12
0.0790604,-1.20842,-12
0.11514,-1.22604,-12
0.167683,-1.26229,-12
0.244205,-1.33163,-12
0.355648,-1.44982,-12
0.517947,-1.61043,-12
0.754312,-1.73147,-12
1.09854,-1.73854,-12
1.59986,-1.70543,-12
2.32995,-1.67978,-12
3.39322,-1.66369,-12
4.94171,-1.65167,-12
7.19686,-1.63936,-12
10.4811,-1.62514,-12
15.2642,-1.6107,-12
22.23,-1.5991,-12
32.3746,-1.59156,-12
47.1487,-1.58734,-12
68.6649,-1.58516,-12
100,-1.58409,-12
