lambda,log_residual,log_regularization
1e-06,1.41006,0.33051
1.45635e-06,1.41006,0.33051
2.12095e-06,1.41006,0.33051
3.08884e-06,1.41006,0.33051
4.49843e-06,1.41006,0.33051
6.55129e-06,1.41006,0.33051
9.54095e-06,1.41006,0.33051
1.3895e-05,1.41006,0.33051
2.02359e-05,1.41006,0.33051
2.94705e-05,1.41006,0.33051
4.29193e-05,1.41006,0.33051
6.25055e-05,1.41006,0.33051
9.10298e-05,1.41006,0.33051
0.000132571,1.41006,0.33051
0.00019307,1.41006,0.33051
0.000281177,1.41006,0.33051
0.000409492,1.41006,0.33051
0.000596362,1.41006,0.33051
0.000868511,1.41006,0.33051
0.00126486,1.41006,0.330509
0.00184207,1.41006,0.330508
0.0026827,1.41006,0.330507
0.00390694,1.41006,0.330503
0.00568987,1.41005,0.330495
0.00828643,1.41003,0.330477
0.0120679,1.41,0.330441
0.0175751,1.40993,0.330363
0.0255955,1.40978,0.330198
0.0372759,1.40947,0.329849
0.0542868,1.40882,0.32911
0.0790604,1.40742,0.327546
0.11514,1.40449,0.324249
0.167683,1.39835,0.317347
0.244205,1.38571,0.303091
0.355648,1.36042,0.274456
0.517947,1.31263,0.21991
0.754312,1.23086,0.125212
1.09854,1.11048,-0.0169112
1.59986,0.964681,-0.189298
2.32995,0.82324,-0.342583
3.39322,0.715067,-0.436919
4.94171,0.653951,-0.490413
7.19686,0.641058,-0.54118
10.4811,0.669731,-0.617902
15.2642,0.723112,-0.742176
22.23,0.778136,-0.925322
32.3746,0.819345,-1.16311
47.1487,0.844465,-1.44051
68.6649,0.858002,-1.74178
100,0.864823,-2.05587
